epoch,correctness,error
1,0.0,96.5159613357
2,0.13333333333333333,74.8496115695
3,0.3333333333333333,72.347908464
4,0.3333333333333333,67.7065155719
5,0.49523809523809526,60.6119218412
6,0.6190476190476191,53.4809301473
7,0.6571428571428571,48.4865639999
8,0.6666666666666666,45.42591511
9,0.6666666666666666,43.4839684716
10,0.6666666666666666,42.1160656295
11,0.6666666666666666,41.0162753996
12,0.6666666666666666,40.0005116129
13,0.6666666666666666,38.9475385227
14,0.6666666666666666,37.7793115479
15,0.6666666666666666,36.4566833581
16,0.6666666666666666,34.9788643896
17,0.6666666666666666,33.3816847673
18,0.6666666666666666,31.7286131585
19,0.6761904761904762,30.0934454529
20,0.7333333333333333,28.5420503941
21,0.7619047619047619,27.1209229724
22,0.8095238095238095,25.854334767
23,0.8285714285714286,24.7474827759
24,0.8476190476190476,23.792247949
25,0.8666666666666667,22.9730411186
26,0.8857142857142857,22.2713839376
27,0.8857142857142857,21.668865082
28,0.8857142857142857,21.1487081204
29,0.8952380952380953,20.6963895853
30,0.8952380952380953,20.2997089575
31,0.9142857142857143,19.9485929674
32,0.9142857142857143,19.6348024346
33,0.9142857142857143,19.3516290129
34,0.9142857142857143,19.0936205438
35,0.9142857142857143,18.8563476872
36,0.9142857142857143,18.6362120527
37,0.9142857142857143,18.4302909801
38,0.9238095238095239,18.236212719
39,0.9238095238095239,18.0520560045
40,0.9238095238095239,17.8762689033
41,0.9238095238095239,17.7076028067
42,0.9333333333333333,17.5450583706
43,0.9428571428571428,17.3878409555
44,0.9523809523809523,17.2353237031
45,0.9523809523809523,17.0870168151
46,0.9523809523809523,16.9425419122
47,0.9523809523809523,16.8016105745
48,0.9619047619047619,16.664006337
49,0.9714285714285714,16.5295695501
50,0.9714285714285714,16.3981846275
51,0.9714285714285714,16.2697693051
52,0.9714285714285714,16.1442656146
53,0.9714285714285714,16.0216323445
54,0.9714285714285714,15.9018388131
55,0.9714285714285714,15.7848598104
56,0.9714285714285714,15.6706715902
57,0.9714285714285714,15.5592488035
58,0.9714285714285714,15.4505622651
59,0.9714285714285714,15.3445774484
60,0.9714285714285714,15.2412536009
61,0.9714285714285714,15.1405433733
62,0.9714285714285714,15.0423928588
63,0.9714285714285714,14.9467419455
64,0.9714285714285714,14.8535248949
65,0.9714285714285714,14.7626710681
66,0.9714285714285714,14.6741057369
67,0.9714285714285714,14.5877509256
68,0.9714285714285714,14.5035262446
69,0.9714285714285714,14.4213496861
70,0.9714285714285714,14.3411383595
71,0.9714285714285714,14.2628091573
72,0.9714285714285714,14.1862793422
73,0.9714285714285714,14.1114670554
74,0.9714285714285714,14.0382917476
75,0.9714285714285714,13.966674537
76,0.9714285714285714,13.8965385
77,0.9714285714285714,13.8278089017
78,0.9714285714285714,13.7604133723
79,0.9714285714285714,13.6942820371
80,0.9714285714285714,13.6293476062
81,0.9714285714285714,13.5655454304
82,0.9714285714285714,13.502813528
83,0.9714285714285714,13.4410925882
84,0.9714285714285714,13.3803259557
85,0.9714285714285714,13.3204595985
86,0.9714285714285714,13.2614420645
87,0.9714285714285714,13.2032244276
88,0.9714285714285714,13.1457602268
89,0.9714285714285714,13.0890053998
90,0.9714285714285714,13.0329182128
91,0.9714285714285714,12.977459187
92,0.9714285714285714,12.9225910245
93,0.9714285714285714,12.8682785327
94,0.9714285714285714,12.8144885495
95,0.9714285714285714,12.761189868
96,0.9714285714285714,12.7083531631
97,0.9714285714285714,12.6559509186
98,0.9714285714285714,12.603957356
99,0.9714285714285714,12.5523483656
