epoch,learning_rate,correctness
11,1.4,0.6666666666666666
21,1.4,0.6666666666666666
31,1.4,0.6571428571428571
41,1.4,0.6666666666666666
51,1.4,0.6761904761904762
61,1.4,0.6952380952380952
71,1.4,0.7047619047619048
81,1.4,0.7047619047619048
91,1.4,0.7142857142857143
101,1.4,0.7047619047619048
1,1.5,0.3333333333333333
11,1.5,0.6666666666666666
21,1.5,0.6666666666666666
31,1.5,0.6666666666666666
41,1.5,0.6666666666666666
51,1.5,0.6761904761904762
61,1.5,0.6761904761904762
71,1.5,0.7047619047619048
81,1.5,0.7047619047619048
91,1.5,0.6952380952380952
101,1.5,0.7047619047619048
1,1.6,0.3333333333333333
11,1.6,0.6666666666666666
21,1.6,0.6666666666666666
31,1.6,0.6666666666666666
41,1.6,0.6666666666666666
51,1.6,0.6761904761904762
61,1.6,0.6761904761904762
71,1.6,0.7047619047619048
81,1.6,0.6952380952380952
91,1.6,0.7047619047619048
101,1.6,0.7238095238095238
1,1.7,0.3333333333333333
11,1.7,0.6666666666666666
21,1.7,0.6666666666666666
31,1.7,0.6666666666666666
41,1.7,0.6666666666666666
51,1.7,0.6761904761904762
61,1.7,0.6952380952380952
71,1.7,0.6952380952380952
81,1.7,0.7047619047619048
91,1.7,0.7142857142857143
101,1.7,0.7238095238095238
1,1.8,0.3333333333333333
11,1.8,0.6666666666666666
21,1.8,0.6666666666666666
31,1.8,0.6666666666666666
41,1.8,0.6666666666666666
51,1.8,0.6761904761904762
61,1.8,0.7047619047619048
71,1.8,0.6952380952380952
81,1.8,0.7047619047619048
91,1.8,0.7142857142857143
101,1.8,0.7238095238095238
1,1.9,0.3333333333333333
11,1.9,0.6666666666666666
21,1.9,0.6666666666666666
31,1.9,0.6666666666666666
41,1.9,0.6666666666666666
51,1.9,0.6857142857142857
61,1.9,0.7047619047619048
71,1.9,0.6952380952380952
81,1.9,0.6952380952380952
91,1.9,0.7047619047619048
101,1.9,0.7047619047619048
1,2.0,0.3333333333333333
11,2.0,0.6666666666666666
21,2.0,0.6666666666666666
31,2.0,0.6476190476190476
41,2.0,0.638095238095238
51,2.0,0.6666666666666666
61,2.0,0.6476190476190476
71,2.0,0.6666666666666666
81,2.0,0.6571428571428571
91,2.0,0.6761904761904762
101,2.0,0.7428571428571429
