epoch,learning_rate,correctness
71,0.7,0.9809523809523809
81,0.7,0.9809523809523809
91,0.7,0.9904761904761905
101,0.7,0.9904761904761905
1,0.8,0.0
11,0.8,0.9047619047619048
21,0.8,0.9523809523809523
31,0.8,0.9619047619047619
41,0.8,0.9714285714285714
51,0.8,0.9809523809523809
61,0.8,0.9809523809523809
71,0.8,0.9809523809523809
81,0.8,0.9809523809523809
91,0.8,0.9904761904761905
101,0.8,0.9904761904761905
1,0.9,0.0
11,0.9,0.9238095238095239
21,0.9,0.9523809523809523
31,0.9,0.9619047619047619
41,0.9,0.9809523809523809
51,0.9,0.9809523809523809
61,0.9,0.9809523809523809
71,0.9,0.9809523809523809
81,0.9,0.9809523809523809
91,0.9,0.9904761904761905
101,0.9,0.9904761904761905
1,1.0,0.0
11,1.0,0.9238095238095239
21,1.0,0.9523809523809523
31,1.0,0.9619047619047619
41,1.0,0.9809523809523809
51,1.0,0.9809523809523809
61,1.0,0.9809523809523809
71,1.0,0.9809523809523809
81,1.0,0.9809523809523809
91,1.0,0.9809523809523809
101,1.0,0.9904761904761905
1,1.1,0.0
11,1.1,0.9333333333333333
21,1.1,0.9523809523809523
31,1.1,0.9619047619047619
41,1.1,0.9809523809523809
51,1.1,0.9809523809523809
61,1.1,0.9809523809523809
71,1.1,0.9809523809523809
81,1.1,0.9809523809523809
91,1.1,0.9809523809523809
101,1.1,0.9809523809523809
1,1.2,0.0
11,1.2,0.9333333333333333
21,1.2,0.9523809523809523
31,1.2,0.9619047619047619
41,1.2,0.9809523809523809
51,1.2,0.9809523809523809
61,1.2,0.9809523809523809
71,1.2,0.9809523809523809
81,1.2,0.9809523809523809
91,1.2,0.9809523809523809
101,1.2,0.9809523809523809
1,1.3,0.0
11,1.3,0.9333333333333333
21,1.3,0.9523809523809523
31,1.3,0.9619047619047619
41,1.3,0.9809523809523809
51,1.3,0.9809523809523809
61,1.3,0.9809523809523809
71,1.3,0.9809523809523809
81,1.3,0.9809523809523809
91,1.3,0.9714285714285714
101,1.3,0.9714285714285714
1,1.4,0.18095238095238095
11,1.4,0.9428571428571428
21,1.4,0.9523809523809523
31,1.4,0.9619047619047619
41,1.4,0.9809523809523809
51,1.4,0.9809523809523809
61,1.4,0.9809523809523809
71,1.4,0.9809523809523809
81,1.4,0.9619047619047619
91,1.4,0.9714285714285714
101,1.4,0.9714285714285714
1,1.5,0.3333333333333333
11,1.5,0.9523809523809523
21,1.5,0.9523809523809523
31,1.5,0.9619047619047619
41,1.5,0.9809523809523809
51,1.5,0.9809523809523809
61,1.5,0.9809523809523809
71,1.5,0.9714285714285714
81,1.5,0.9619047619047619
91,1.5,0.9714285714285714
101,1.5,0.9809523809523809
1,1.6,0.3333333333333333
11,1.6,0.9523809523809523
21,1.6,0.9523809523809523
31,1.6,0.9619047619047619
41,1.6,0.9809523809523809
51,1.6,0.9809523809523809
61,1.6,0.9809523809523809
71,1.6,0.9619047619047619
81,1.6,0.9619047619047619
91,1.6,0.9714285714285714
101,1.6,0.9809523809523809
1,1.7,0.3333333333333333
11,1.7,0.9523809523809523
21,1.7,0.9523809523809523
31,1.7,0.9714285714285714
41,1.7,0.9809523809523809
51,1.7,0.9809523809523809
61,1.7,0.9809523809523809
71,1.7,0.9619047619047619
81,1.7,0.9714285714285714
91,1.7,0.9714285714285714
101,1.7,0.9809523809523809
1,1.8,0.3333333333333333
11,1.8,0.9428571428571428
21,1.8,0.9523809523809523
31,1.8,0.9714285714285714
41,1.8,0.9809523809523809
51,1.8,0.9809523809523809
61,1.8,0.9809523809523809
71,1.8,0.9619047619047619
81,1.8,0.9714285714285714
91,1.8,0.9714285714285714
101,1.8,0.9809523809523809
1,1.9,0.3333333333333333
11,1.9,0.9333333333333333
21,1.9,0.9523809523809523
31,1.9,0.9714285714285714
41,1.9,0.9809523809523809
51,1.9,0.9809523809523809
61,1.9,0.9619047619047619
71,1.9,0.9619047619047619
81,1.9,0.9714285714285714
91,1.9,0.9714285714285714
101,1.9,0.9809523809523809
1,2.0,0.3333333333333333
11,2.0,0.9238095238095239
21,2.0,0.9523809523809523
31,2.0,0.9714285714285714
41,2.0,0.9809523809523809
51,2.0,0.9809523809523809
61,2.0,0.9619047619047619
71,2.0,0.9714285714285714
81,2.0,0.9714285714285714
91,2.0,0.9714285714285714
101,2.0,0.9809523809523809
