epoch,neuron,correctness
1,1,0.0
51,1,0.48
101,1,0.495
151,1,0.56
201,1,0.49
251,1,0.54
301,1,0.5349999999999999
351,1,0.6699999999999999
401,1,0.655
451,1,0.595
501,1,0.6299999999999999
551,1,0.665
601,1,0.63
651,1,0.61
701,1,0.65
751,1,0.63
801,1,0.485
1,2,0.0
51,2,0.5549999999999999
101,2,0.54
151,2,0.455
201,2,0.575
251,2,0.5700000000000001
301,2,0.47
351,2,0.515
401,2,0.595
451,2,0.61
501,2,0.625
551,2,0.6799999999999999
601,2,0.595
651,2,0.64
701,2,0.605
751,2,0.75
801,2,0.615
1,3,0.0
51,3,0.53
101,3,0.495
151,3,0.445
201,3,0.51
251,3,0.525
301,3,0.425
351,3,0.62
401,3,0.6950000000000001
451,3,0.765
501,3,0.6950000000000001
551,3,0.735
601,3,0.73
651,3,0.88
701,3,0.86
751,3,0.835
801,3,0.8400000000000001
1,4,0.0
51,4,0.5549999999999999
101,4,0.495
151,4,0.5
201,4,0.435
251,4,0.5
301,4,0.47
351,4,0.5
401,4,0.51
451,4,0.445
501,4,0.55
551,4,0.63
601,4,0.72
651,4,0.79
701,4,0.7949999999999999
751,4,0.745
801,4,0.655
1,5,0.0
51,5,0.525
101,5,0.5700000000000001
151,5,0.435
201,5,0.615
251,5,0.65
301,5,0.575
351,5,0.545
401,5,0.65
451,5,0.745
501,5,0.745
551,5,0.735
601,5,0.8
651,5,0.775
701,5,0.74
751,5,0.75
801,5,0.75
1,6,0.0
51,6,0.485
101,6,0.525
151,6,0.47
201,6,0.595
251,6,0.625
301,6,0.595
351,6,0.61
401,6,0.595
451,6,0.765
501,6,0.76
551,6,0.7
601,6,0.745
651,6,0.71
701,6,0.74
751,6,0.75
801,6,0.725
1,7,0.0
51,7,0.49
101,7,0.54
151,7,0.51
201,7,0.5
251,7,0.565
301,7,0.8
351,7,0.78
401,7,0.745
451,7,0.72
501,7,0.87
551,7,0.8400000000000001
601,7,1.0
651,7,1.0
701,7,1.0
751,7,1.0
801,7,1.0
1,8,0.0
51,8,0.5
101,8,0.5549999999999999
151,8,0.535
201,8,0.53
251,8,0.52
301,8,0.62
351,8,0.595
401,8,0.79
451,8,0.8
501,8,0.785
551,8,0.895
601,8,0.88
651,8,1.0
701,8,1.0
751,8,1.0
801,8,1.0
1,9,0.0
51,9,0.53
101,9,0.53
151,9,0.49
201,9,0.6000000000000001
251,9,0.6950000000000001
301,9,0.805
351,9,0.745
401,9,0.725
451,9,0.865
501,9,1.0
551,9,1.0
601,9,1.0
651,9,1.0
701,9,1.0
751,9,1.0
801,9,1.0
1,10,0.0
51,10,0.51
101,10,0.47
151,10,0.42000000000000004
201,10,0.76
251,10,0.6799999999999999
301,10,0.735
351,10,0.73
401,10,1.0
451,10,1.0
501,10,1.0
551,10,1.0
601,10,1.0
651,10,1.0
701,10,1.0
751,10,1.0
801,10,1.0
1,11,0.0
51,11,0.515
101,11,0.505
151,11,0.505
201,11,0.54
251,11,0.675
301,11,0.645
351,11,0.595
401,11,0.775
451,11,0.9
501,11,0.875
551,11,0.9
601,11,1.0
651,11,1.0
701,11,1.0
751,11,1.0
801,11,1.0
1,12,0.0
51,12,0.52
101,12,0.47
151,12,0.47000000000000003
201,12,0.52
251,12,0.745
301,12,0.8049999999999999
351,12,0.76
401,12,0.7949999999999999
451,12,0.9
501,12,1.0
551,12,1.0
601,12,1.0
651,12,1.0
701,12,1.0
751,12,1.0
801,12,1.0
1,13,0.0
51,13,0.45499999999999996
101,13,0.49
151,13,0.6
201,13,0.58
251,13,0.755
301,13,0.7749999999999999
351,13,0.735
401,13,0.905
451,13,1.0
501,13,1.0
551,13,1.0
601,13,1.0
651,13,1.0
701,13,1.0
751,13,1.0
801,13,1.0
1,14,0.0
51,14,0.275
101,14,0.44999999999999996
151,14,0.485
201,14,0.475
251,14,0.59
301,14,0.635
351,14,0.7649999999999999
401,14,0.74
451,14,0.86
501,14,1.0
551,14,1.0
601,14,1.0
651,14,1.0
701,14,1.0
751,14,1.0
801,14,1.0
1,15,0.0
51,15,0.505
101,15,0.5700000000000001
151,15,0.51
201,15,0.495
251,15,0.78
301,15,0.7
351,15,0.775
401,15,0.85
451,15,1.0
501,15,1.0
551,15,1.0
601,15,1.0
651,15,1.0
701,15,1.0
751,15,1.0
801,15,1.0
1,16,0.0
51,16,0.0
101,16,0.0
151,16,0.545
201,16,0.475
251,16,0.625
301,16,0.765
351,16,0.71
401,16,0.7
451,16,0.88
501,16,1.0
551,16,1.0
601,16,1.0
651,16,1.0
701,16,1.0
751,16,1.0
801,16,1.0
1,17,0.0
51,17,0.26
101,17,0.27
151,17,0.235
201,17,0.235
251,17,0.22
301,17,0.635
351,17,0.735
401,17,0.7649999999999999
451,17,0.815
501,17,0.89
551,17,1.0
601,17,1.0
651,17,1.0
701,17,1.0
751,17,1.0
801,17,1.0
1,18,0.0
51,18,0.0
101,18,0.235
151,18,0.23
201,18,0.225
251,18,0.255
301,18,0.595
351,18,0.735
401,18,0.76
451,18,0.88
501,18,0.885
551,18,1.0
601,18,1.0
651,18,1.0
701,18,1.0
751,18,1.0
801,18,1.0
1,19,0.0
51,19,0.515
101,19,0.45499999999999996
151,19,0.515
201,19,0.48
251,19,0.585
301,19,0.61
351,19,0.67
401,19,0.685
451,19,0.85
501,19,1.0
551,19,1.0
601,19,1.0
651,19,1.0
701,19,1.0
751,19,1.0
801,19,1.0
1,20,0.0
51,20,0.0
101,20,0.26
151,20,0.235
201,20,0.2
251,20,0.525
301,20,0.505
351,20,0.47
401,20,0.605
451,20,0.605
501,20,0.595
551,20,0.725
601,20,0.755
651,20,0.715
701,20,0.8200000000000001
751,20,0.915
801,20,1.0
1,21,0.0
51,21,0.0
101,21,0.0
151,21,0.515
201,21,0.47
251,21,0.6
301,21,0.685
351,21,0.64
401,21,0.77
451,21,0.77
501,21,0.775
551,21,0.76
601,21,0.835
651,21,1.0
701,21,1.0
751,21,1.0
801,21,1.0
1,22,0.0
51,22,0.0
101,22,0.0
151,22,0.0
201,22,0.0
251,22,0.25
301,22,0.23
351,22,0.23
401,22,0.385
451,22,0.375
501,22,0.385
551,22,0.5
601,22,0.5
651,22,0.5
701,22,0.5
751,22,0.5
801,22,0.5
1,23,0.0
51,23,0.0
101,23,0.0
151,23,0.0
201,23,0.25
251,23,0.245
301,23,0.355
351,23,0.38
401,23,0.35
451,23,0.5
501,23,0.5
551,23,0.5
601,23,0.5
651,23,0.5
701,23,0.73
751,23,0.74
801,23,0.715
1,24,0.0
51,24,0.0
101,24,0.0
151,24,0.0
201,24,0.0
251,24,0.0
301,24,0.0
351,24,0.0
401,24,0.0
451,24,0.0
501,24,0.0
551,24,0.0
601,24,0.0
651,24,0.0
701,24,0.0
751,24,0.0
801,24,0.0
1,25,0.0
51,25,0.0
101,25,0.0
151,25,0.0
201,25,0.0
251,25,0.0
301,25,0.0
351,25,0.0
401,25,0.0
451,25,0.0
501,25,0.0
551,25,0.26
601,25,0.23
651,25,0.205
701,25,0.275
751,25,0.275
801,25,0.24
1,26,0.0
51,26,0.0
101,26,0.0
151,26,0.0
201,26,0.0
251,26,0.0
301,26,0.0
351,26,0.0
401,26,0.0
451,26,0.125
501,26,0.125
551,26,0.11
601,26,0.12
651,26,0.25
701,26,0.27
751,26,0.26
801,26,0.25
1,27,0.0
51,27,0.0
101,27,0.0
151,27,0.0
201,27,0.0
251,27,0.0
301,27,0.0
351,27,0.11
401,27,0.145
451,27,0.30500000000000005
501,27,0.275
551,27,0.26
601,27,0.4
651,27,0.38
701,27,0.39
751,27,0.44999999999999996
801,27,0.42500000000000004
1,28,0.0
51,28,0.0
101,28,0.0
151,28,0.0
201,28,0.0
251,28,0.0
301,28,0.0
351,28,0.0
401,28,0.0
451,28,0.0
501,28,0.0
551,28,0.0
601,28,0.0
651,28,0.0
701,28,0.12
751,28,0.37
801,28,0.37
1,29,0.0
51,29,0.0
101,29,0.0
151,29,0.0
201,29,0.0
251,29,0.0
301,29,0.0
351,29,0.0
401,29,0.0
451,29,0.0
501,29,0.0
551,29,0.0
601,29,0.0
651,29,0.0
701,29,0.0
751,29,0.0
801,29,0.0
1,30,0.0
51,30,0.0
101,30,0.0
151,30,0.0
201,30,0.0
251,30,0.0
301,30,0.0
351,30,0.0
401,30,0.0
451,30,0.0
501,30,0.0
551,30,0.0
601,30,0.0
651,30,0.0
701,30,0.0
751,30,0.0
801,30,0.0
