new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
0,0,3,19,5,0,0,8,104,55
0,0,8,104,55,0,0,1,2,0
0,0,1,2,0,0,0,7,273,30
0,0,7,273,30,0,0,3,20,4
0,0,3,20,4,0,0,8,9,2
0,0,8,9,2,0,0,5,121,40
0,0,5,121,40,0,4,0,0,1718
0,4,0,0,1718,0,0,1,0,0
0,0,1,0,0,0,0,6,208,61
0,0,6,208,61,0,0,2,33,24
0,0,2,33,24,0,0,23,567,1392
0,0,23,567,1392,0,0,2,29,5
0,0,2,29,5,0,0,2,7,2
0,0,2,7,2,0,0,1,0,0
0,0,1,0,0,0,0,3,70,83
0,0,3,70,83,0,0,1,8,7
0,0,1,8,7,0,0,3,45,1
0,0,3,45,1,0,0,2,247,232
0,0,2,247,232,0,0,3,31,8
0,0,3,31,8,0,0,2,62,36
0,0,2,62,36,0,0,1,0,0
0,0,1,0,0,0,0,1,6,0
0,0,1,6,0,0,0,2,17,229
0,0,2,17,229,0,0,8,49,39
0,0,8,49,39,0,0,1,1,4
0,0,1,1,4,1,0,4,843,25
1,0,4,843,25,0,0,3,114,66
0,0,3,114,66,0,0,5,50,140
0,0,5,50,140,0,0,17,61,45
0,0,17,61,45,0,0,2,24,4
0,0,2,24,4,0,0,3,114,75
0,0,3,114,75,0,0,16,953,848
0,0,16,953,848,0,0,1,628,1
0,0,1,628,1,0,0,10,179,55
0,0,10,179,55,0,0,4,79,50
0,0,4,79,50,0,0,1,2,2
0,0,1,2,2,0,0,1,26,12
0,0,1,26,12,0,0,8,1372,942
0,0,8,1372,942,0,1,1,0,264
0,1,1,0,264,0,0,3,101,42
0,0,3,101,42,0,0,1,0,0
0,0,1,0,0,0,0,8,377,453
0,0,8,377,453,0,1,1,0,12
0,1,1,0,12,0,0,3,135,52
0,0,3,135,52,0,0,4,105,92
0,0,4,105,92,4,0,7,612,223
4,0,7,612,223,0,0,1,5,2
0,0,1,5,2,0,0,3,35,46
0,0,3,35,46,0,0,1,6,0
0,0,1,6,0,0,0,3,4,2
0,0,3,4,2,0,0,14,774,449
0,0,14,774,449,0,0,4,20,12
0,0,4,20,12,1,0,9,313,86
1,0,9,313,86,0,0,3,35,37
0,0,3,35,37,0,0,2,26,10
0,0,2,26,10,0,0,1,3,1
0,0,1,3,1,0,0,4,36,6
0,0,4,36,6,0,0,12,574,576
0,0,12,574,576,0,0,1,0,0
0,0,1,0,0,1,0,7,330,50
1,0,7,330,50,0,0,4,151,0
0,0,4,151,0,0,0,1,2,2
0,0,1,2,2,0,0,7,431,171
0,0,7,431,171,0,0,2,3,3
0,0,2,3,3,0,0,1,2,2
0,0,1,2,2,0,0,4,5,5
0,0,4,5,5,0,0,1,141,0
0,0,1,141,0,0,0,2,104,135
0,0,2,104,135,0,0,4,186,120
0,0,4,186,120,0,0,2,2,2
0,0,2,2,2,0,0,4,139,1024
0,0,4,139,1024,0,0,3,4,4
0,0,3,4,4,0,0,1,54,29
0,0,1,54,29,0,0,1,0,0
0,0,1,0,0,0,0,3,79,124
0,0,3,79,124,0,0,2,226,95
0,0,2,226,95,0,0,1,539,466
0,0,1,539,466,0,0,10,89,323
0,0,10,89,323,0,0,2,2,2
0,0,2,2,2,0,0,6,858,518
0,0,6,858,518,0,0,6,484,428
0,0,6,484,428,0,0,5,229,110
0,0,5,229,110,1,0,1,176,0
1,0,1,176,0,0,0,3,282,163
0,0,3,282,163,0,0,6,246,184
0,0,6,246,184,0,0,1,18,12
0,0,1,18,12,2,0,1,364,2
2,0,1,364,2,0,0,3,40,30
0,0,3,40,30,0,0,2,3,2
0,0,2,3,2,0,0,97,4489,4489
0,0,97,4489,4489,0,0,5,106,57
0,0,5,106,57,0,6,24,1644,3120
0,6,24,1644,3120,0,0,4,76,78
0,0,4,76,78,0,0,1,3,3
0,0,1,3,3,1,2,7,167,311
1,2,7,167,311,0,0,8,153,151
0,0,8,153,151,0,0,9,385,36
0,0,9,385,36,0,0,11,91,112
0,0,11,91,112,0,0,3,8,5
0,0,3,8,5,0,0,5,79,51
0,0,5,79,51,0,0,1,5,10
0,0,1,5,10,1,0,2,86,65
1,0,2,86,65,0,0,5,60,24
0,0,5,60,24,0,0,7,18,10
0,0,7,18,10,0,0,2,3,1
0,0,2,3,1,0,3,5,41,170
0,3,5,41,170,0,0,2,297,1
0,0,2,297,1,0,0,3,19,16
0,0,3,19,16,0,0,5,35,8
0,0,5,35,8,0,3,8,173,428
0,3,8,173,428,3,0,0,48,0
3,0,0,48,0,0,0,1,9,33
0,0,1,9,33,1,0,19,111,532
1,0,19,111,532,1,0,0,338,0
1,0,0,338,0,0,1,55,3343,3406
0,1,55,3343,3406,0,0,2,4,3
0,0,2,4,3,1,0,2,308,169
1,0,2,308,169,2,0,14,512,535
2,0,14,512,535,1,7,13,1316,1534
1,7,13,1316,1534,0,0,10,166,97
0,0,10,166,97,0,0,4,80,10
0,0,4,80,10,0,0,95,2170,432
0,0,95,2170,432,5,0,12,739,189
5,0,12,739,189,0,0,41,437,111
0,0,41,437,111,5,0,0,432,0
5,0,0,432,0,3,3,0,5648,129
3,3,0,5648,129,1,0,0,438,0
1,0,0,438,0,0,1,46,126,486
0,1,46,126,486,0,0,2,58,78
0,0,2,58,78,0,0,8,196,81
0,0,8,196,81,0,0,1,2,2
0,0,1,2,2,0,0,1,4,8
0,0,1,4,8,0,0,7,33,24
0,0,7,33,24,4,0,7,1400,898
4,0,7,1400,898,0,0,6,35,17
0,0,6,35,17,0,0,1,2,2
0,0,1,2,2,0,0,1,320,169
0,0,1,320,169,11,1,3,265,170
11,1,3,265,170,3,0,10,32,13
