new_files,deleted_files,modified_files,inserted_lines,deleted_lines,new_files_pred,deleted_files_pred,modified_files_pred,inserted_lines_pred,deleted_lines_pred
1,0,0,2,0,2,0,0,274,0
2,0,0,274,0,2,0,0,744,0
2,0,0,744,0,0,0,5,50,21
0,0,5,50,21,0,0,2,4,2
0,0,2,4,2,0,0,2,7,9
0,0,2,7,9,0,0,1,23,31
0,0,1,23,31,6,0,3,106,33
6,0,3,106,33,0,0,2,14,6
0,0,2,14,6,0,0,2,60,80
0,0,2,60,80,0,0,1,3,3
0,0,1,3,3,11,0,6,341,103
11,0,6,341,103,0,0,1,12,8
0,0,1,12,8,2,0,0,459,0
2,0,0,459,0,0,0,1,0,3
0,0,1,0,3,0,0,2,24,24
0,0,2,24,24,0,0,1,10,2
0,0,1,10,2,0,0,2,2,2
0,0,2,2,2,1,0,0,108,0
1,0,0,108,0,0,0,1,11,50
0,0,1,11,50,1,0,0,322,0
1,0,0,322,0,1,0,0,40,0
1,0,0,40,0,0,0,1,0,0
0,0,1,0,0,1,0,0,4478,0
1,0,0,4478,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,10,0
0,0,1,10,0,1,0,0,28,0
1,0,0,28,0,0,0,1,34,7
0,0,1,34,7,2,0,0,213,0
2,0,0,213,0,0,0,1,6,0
0,0,1,6,0,1,0,0,93,0
1,0,0,93,0,3,2,10,161,67
3,2,10,161,67,1,0,0,147,0
1,0,0,147,0,1,0,0,19,0
1,0,0,19,0,1,0,0,2894,0
1,0,0,2894,0,1,0,0,4,0
1,0,0,4,0,1,0,0,73,0
1,0,0,73,0,0,0,2,6,2
0,0,2,6,2,0,0,1,0,0
0,0,1,0,0,0,0,1,2,0
0,0,1,2,0,1,0,0,46,0
1,0,0,46,0,2,0,0,53,0
2,0,0,53,0,2,0,0,271,0
2,0,0,271,0,4,0,4,119,18
4,0,4,119,18,0,0,1,16,4
0,0,1,16,4,0,0,1,0,0
0,0,1,0,0,0,0,1,6,2
0,0,1,6,2,0,0,1,24,1
0,0,1,24,1,0,0,1,10,0
0,0,1,10,0,0,0,2,15,8
0,0,2,15,8,0,0,2,11,1
0,0,2,11,1,0,0,1,5,0
0,0,1,5,0,0,0,1,3,0
0,0,1,3,0,0,0,5,134,99
0,0,5,134,99,0,0,5,15,14
0,0,5,15,14,0,0,1,5,0
0,0,1,5,0,0,0,1,0,0
0,0,1,0,0,0,0,1,4,4
0,0,1,4,4,0,0,2,13,34
0,0,2,13,34,0,0,1,0,0
0,0,1,0,0,1,0,0,32,0
1,0,0,32,0,0,0,1,36,0
0,0,1,36,0,0,0,1,64,3
0,0,1,64,3,0,0,1,0,0
0,0,1,0,0,0,0,1,25,11
0,0,1,25,11,0,0,1,23,0
0,0,1,23,0,0,0,1,0,0
0,0,1,0,0,0,0,1,26,19
0,0,1,26,19,0,0,1,80,0
0,0,1,80,0,0,0,1,22,12
0,0,1,22,12,0,0,1,8,0
0,0,1,8,0,0,0,1,7,6
0,0,1,7,6,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,7,55,32
0,0,7,55,32,8,0,1,234,1
8,0,1,234,1,0,0,1,3,2
0,0,1,3,2,0,0,1,14,5
0,0,1,14,5,2,0,0,302,0
2,0,0,302,0,2,0,0,764,0
2,0,0,764,0,2,0,0,307,0
2,0,0,307,0,0,0,1,10,0
0,0,1,10,0,0,0,1,13,10
0,0,1,13,10,0,0,1,2,2
0,0,1,2,2,4,0,3,60,12
4,0,3,60,12,0,0,1,3,1
0,0,1,3,1,0,0,1,3,0
0,0,1,3,0,0,0,1,20,0
0,0,1,20,0,0,0,1,6,0
0,0,1,6,0,0,0,1,109,2
0,0,1,109,2,0,0,1,0,0
0,0,1,0,0,1,0,0,78,0
1,0,0,78,0,0,0,1,10,0
0,0,1,10,0,3,0,0,809,0
3,0,0,809,0,1,0,0,40,0
1,0,0,40,0,1,0,0,22,0
1,0,0,22,0,0,0,1,12,1
0,0,1,12,1,1,0,0,10,0
1,0,0,10,0,1,0,0,16,0
1,0,0,16,0,1,0,0,71,0
1,0,0,71,0,2,0,0,25,0
2,0,0,25,0,0,1,0,0,7
0,1,0,0,7,1,0,0,21,0
1,0,0,21,0,0,0,1,6,0
0,0,1,6,0,20,0,0,422,0
20,0,0,422,0,0,0,1,0,0
0,0,1,0,0,0,0,1,5,4
0,0,1,5,4,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,226,0
0,0,1,226,0,1,0,0,0,0
1,0,0,0,0,2,0,0,28,0
2,0,0,28,0,5,0,0,297,0
5,0,0,297,0,0,0,1,21,19
0,0,1,21,19,0,0,1,26,0
0,0,1,26,0,0,0,2,37,18
0,0,2,37,18,0,0,1,21,6
0,0,1,21,6,0,0,8,1219,270
0,0,8,1219,270,0,0,26,61,59
0,0,26,61,59,0,0,2,10,3
0,0,2,10,3,0,0,1,4,0
0,0,1,4,0,0,0,4,31,52
0,0,4,31,52,0,0,1,33,11
0,0,1,33,11,0,0,12,28,28
0,0,12,28,28,0,0,3,3,6
0,0,3,3,6,0,0,1,6,6
0,0,1,6,6,0,0,1,0,0
0,0,1,0,0,0,0,9,16,16
0,0,9,16,16,0,0,4,8,8
0,0,4,8,8,0,0,14,60,63
0,0,14,60,63,0,0,1,13,4
0,0,1,13,4,0,0,1,0,0
0,0,1,0,0,0,0,1,3,3
0,0,1,3,3,0,0,1,9,6
0,0,1,9,6,0,0,2,2,2
0,0,2,2,2,0,0,1,0,0
0,0,1,0,0,0,0,1,2,14
0,0,1,2,14,0,0,1,3,3
0,0,1,3,3,0,0,1,0,0
0,0,1,0,0,0,0,3,4,4
0,0,3,4,4,0,0,8,49,41
0,0,8,49,41,0,0,1,10,0
0,0,1,10,0,2,0,0,178,0
2,0,0,178,0,2,0,0,571,0
2,0,0,571,0,0,2,0,0,42
0,2,0,0,42,0,0,2,290,0
0,0,2,290,0,0,0,1,0,0
0,0,1,0,0,2,0,0,387,0
2,0,0,387,0,0,0,13,174,97
0,0,13,174,97,0,0,1,0,0
0,0,1,0,0,0,0,1,47,54
0,0,1,47,54,0,0,2,10,0
0,0,2,10,0,0,0,1,0,0
0,0,1,0,0,0,0,3,8,8
0,0,3,8,8,0,0,1,2,1
0,0,1,2,1,2,0,0,391,0
2,0,0,391,0,1,0,2,22,1
1,0,2,22,1,0,0,2,2,2
0,0,2,2,2,0,0,6,18,26
0,0,6,18,26,0,0,17,57,99
0,0,17,57,99,0,0,30,98,154
0,0,30,98,154,0,0,1,0,2
0,0,1,0,2,0,0,1,2,4
0,0,1,2,4,0,0,14,40,119
0,0,14,40,119,0,0,1,9,9
0,0,1,9,9,0,0,2,3,3
0,0,2,3,3,0,0,1,13,19
0,0,1,13,19,0,0,4,2,16
0,0,4,2,16,0,0,1,2,4
0,0,1,2,4,0,0,2,6,1
0,0,2,6,1,0,1,2,3,61
0,1,2,3,61,0,0,1,4,6
0,0,1,4,6,0,0,1,9,8
0,0,1,9,8,0,0,1,3,1
0,0,1,3,1,0,0,1,0,0
0,0,1,0,0,0,0,1,2,1
0,0,1,2,1,0,0,3,128,18
0,0,3,128,18,0,0,1,3,3
0,0,1,3,3,0,0,1,22,6
0,0,1,22,6,0,0,2,27,6
0,0,2,27,6,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,4,0,147,809,510
4,0,147,809,510,0,0,1,5,3
0,0,1,5,3,0,0,3,3,3
0,0,3,3,3,0,0,1,0,0
0,0,1,0,0,0,0,3,86,47
0,0,3,86,47,0,0,3,96,29
0,0,3,96,29,0,0,1,8,0
0,0,1,8,0,0,0,1,6,6
0,0,1,6,6,0,0,6,123,123
0,0,6,123,123,2,0,0,26,0
2,0,0,26,0,2,0,12,299,62
2,0,12,299,62,2,0,0,208,0
2,0,0,208,0,0,0,1,3,3
0,0,1,3,3,0,0,16,151,121
0,0,16,151,121,0,0,1,0,0
0,0,1,0,0,0,0,1,2,2
0,0,1,2,2,0,0,1,1,2
0,0,1,1,2,1,0,0,63,0
1,0,0,63,0,0,0,1,6,3
0,0,1,6,3,0,0,1,2,0
0,0,1,2,0,8,0,2,71,12
8,0,2,71,12,0,0,3,230,225
0,0,3,230,225,0,0,1,6,2
0,0,1,6,2,0,0,2,6,15
0,0,2,6,15,0,0,1,3,0
0,0,1,3,0,0,0,1,10,3
0,0,1,10,3,0,0,3,50,123
0,0,3,50,123,0,0,1,15,16
0,0,1,15,16,0,0,1,3,1
0,0,1,3,1,0,0,1,0,0
0,0,1,0,0,0,0,1,7,0
0,0,1,7,0,0,0,5,16,18
0,0,5,16,18,0,0,1,0,0
0,0,1,0,0,0,0,3,11,2
0,0,3,11,2,0,0,2,74,74
0,0,2,74,74,0,1,1,0,16
0,1,1,0,16,0,0,1,0,0
0,0,1,0,0,1,0,0,6,0
1,0,0,6,0,0,0,1,14,0
0,0,1,14,0,0,0,1,2,2
0,0,1,2,2,3,0,1,653,0
3,0,1,653,0,0,0,1,8,0
0,0,1,8,0,3,0,1,599,0
3,0,1,599,0,7,0,1,756,0
7,0,1,756,0,3,0,1,134,2
3,0,1,134,2,2,0,1,110,0
2,0,1,110,0,0,0,1,4,0
0,0,1,4,0,0,0,2,2,2
0,0,2,2,2,2,0,1,51,0
2,0,1,51,0,2,0,0,44,0
2,0,0,44,0,0,2,2,4,445
0,2,2,4,445,1,0,0,2,0
1,0,0,2,0,6,0,1,372,0
6,0,1,372,0,0,0,1,0,5
0,0,1,0,5,0,0,8,20,20
0,0,8,20,20,3,3,3,107,911
3,3,3,107,911,0,0,1,17,37
0,0,1,17,37,0,0,1,5,0
0,0,1,5,0,0,1,1,0,31
0,1,1,0,31,2,2,2,122,611
2,2,2,122,611,1,1,2,178,921
1,1,2,178,921,1,0,1,140,0
1,0,1,140,0,0,0,1,5,2
0,0,1,5,2,1,0,0,0,0
1,0,0,0,0,1,0,2,32,0
1,0,2,32,0,0,0,1,2,1
0,0,1,2,1,0,0,1,2,0
0,0,1,2,0,0,0,1,0,0
0,0,1,0,0,0,0,1,10,0
0,0,1,10,0,0,0,2,2,1
0,0,2,2,1,0,0,1,4,2
0,0,1,4,2,0,0,2,12,10
0,0,2,12,10,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,2,2
0,0,1,2,2,2,0,0,76,0
2,0,0,76,0,0,0,1,2,0
0,0,1,2,0,0,0,2,35,11
0,0,2,35,11,0,0,10,1530,76
0,0,10,1530,76,0,0,1,7,9
0,0,1,7,9,0,1,0,0,21
0,1,0,0,21,1,0,1,46,0
1,0,1,46,0,2,0,0,64,0
2,0,0,64,0,0,0,1,2,2
0,0,1,2,2,0,0,1,4,4
0,0,1,4,4,0,1,0,0,47
0,1,0,0,47,0,0,2,10,1
0,0,2,10,1,0,0,1,9,0
0,0,1,9,0,0,0,1,4,5
0,0,1,4,5,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,2,3,13
0,0,2,3,13,0,0,1,3,3
0,0,1,3,3,0,0,1,1,2
0,0,1,1,2,0,0,1,0,0
0,0,1,0,0,1,0,1,55,0
1,0,1,55,0,0,0,3,33,15
0,0,3,33,15,0,0,1,21,2
0,0,1,21,2,0,0,1,17,0
0,0,1,17,0,0,0,1,2,2
0,0,1,2,2,0,0,1,0,0
0,0,1,0,0,0,0,30,572,406
0,0,30,572,406,0,0,1,0,0
0,0,1,0,0,8,0,29,567,123
8,0,29,567,123,0,0,4,20,14
0,0,4,20,14,0,0,1,6,3
0,0,1,6,3,0,0,3,3,3
0,0,3,3,3,0,0,18,56,290
0,0,18,56,290,0,0,1,0,0
0,0,1,0,0,0,0,4,15,8
0,0,4,15,8,1,0,0,32,0
1,0,0,32,0,0,0,1,0,0
0,0,1,0,0,0,0,1,8,9
0,0,1,8,9,0,0,1,5,3
0,0,1,5,3,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,6,6
0,0,1,6,6,0,0,1,30,0
0,0,1,30,0,0,0,1,0,13
0,0,1,0,13,1,0,0,42,0
1,0,0,42,0,0,0,1,0,0
0,0,1,0,0,0,0,26,242,234
0,0,26,242,234,0,1,1,10,13
0,1,1,10,13,0,0,3,86,41
0,0,3,86,41,0,0,1,4,1
0,0,1,4,1,0,0,1,1,11
0,0,1,1,11,0,0,2,20,4
0,0,2,20,4,0,0,1,0,0
0,0,1,0,0,1,0,0,277,0
1,0,0,277,0,1,0,0,6,0
1,0,0,6,0,0,0,1,17,9
0,0,1,17,9,0,0,1,2,0
0,0,1,2,0,0,0,1,2,2
0,0,1,2,2,1,0,1,598,0
1,0,1,598,0,0,0,1,0,0
0,0,1,0,0,0,0,4,6,232
0,0,4,6,232,0,0,2,2,2
0,0,2,2,2,0,0,1,35,16
0,0,1,35,16,1,0,1,108,1
1,0,1,108,1,0,1,1,0,42
0,1,1,0,42,0,0,1,12,11
0,0,1,12,11,0,0,1,0,0
0,0,1,0,0,0,0,1,39,15
0,0,1,39,15,0,0,2,4,4
0,0,2,4,4,0,0,6,10,10
0,0,6,10,10,0,0,1,0,0
0,0,1,0,0,0,0,1,20,0
0,0,1,20,0,0,0,3,78,5
0,0,3,78,5,1,0,0,147,0
1,0,0,147,0,0,0,1,0,0
0,0,1,0,0,0,0,1,15,1
0,0,1,15,1,0,0,1,0,0
0,0,1,0,0,2,0,0,71,0
2,0,0,71,0,0,0,1,2,0
0,0,1,2,0,0,0,1,15,5
0,0,1,15,5,0,0,2,41,1
0,0,2,41,1,0,0,1,3,0
0,0,1,3,0,0,0,1,2,0
0,0,1,2,0,0,0,1,2,1
0,0,1,2,1,0,0,1,5,4
0,0,1,5,4,0,0,2,620,740
0,0,2,620,740,0,0,1,12,19
0,0,1,12,19,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,8,204,195
0,0,8,204,195,0,0,1,35,0
0,0,1,35,0,1,0,4,505,425
1,0,4,505,425,0,0,1,4,2
0,0,1,4,2,0,0,1,14,3
0,0,1,14,3,0,0,1,0,0
0,0,1,0,0,0,0,1,11,2
0,0,1,11,2,1,0,0,535,0
1,0,0,535,0,0,0,2,35,3
0,0,2,35,3,0,0,1,31,13
0,0,1,31,13,0,0,1,0,0
0,0,1,0,0,0,0,1,27,0
0,0,1,27,0,0,0,2,22,10
0,0,2,22,10,0,0,20,428,139
0,0,20,428,139,0,0,1,2,2
0,0,1,2,2,0,0,2,22,10
0,0,2,22,10,0,0,1,20,4
0,0,1,20,4,0,0,3,16,22
0,0,3,16,22,0,0,1,5,3
0,0,1,5,3,0,1,7,162,199
0,1,7,162,199,0,0,4,32,17
0,0,4,32,17,1,0,0,871,0
1,0,0,871,0,0,0,2,45,46
0,0,2,45,46,0,0,1,2,0
0,0,1,2,0,0,4,10,215,134
0,4,10,215,134,0,0,2,28,5
0,0,2,28,5,0,0,2,41,13
0,0,2,41,13,2,0,0,186,0
2,0,0,186,0,0,0,1,0,0
0,0,1,0,0,0,0,1,35,6
0,0,1,35,6,4,0,0,378,0
4,0,0,378,0,0,0,2,0,79
0,0,2,0,79,0,0,2,2,0
0,0,2,2,0,2,0,1,207,0
2,0,1,207,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,10,2
0,0,1,10,2,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,2,7,58,134
0,2,7,58,134,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,16,1
0,0,1,16,1,14,0,1,472,18
14,0,1,472,18,0,0,7,430,456
0,0,7,430,456,14,0,17,433,292
14,0,17,433,292,4,0,1,39,2
4,0,1,39,2,0,0,1,5,0
0,0,1,5,0,3,0,0,247,0
3,0,0,247,0,5,0,3,408,178
5,0,3,408,178,0,0,1,3,1
0,0,1,3,1,0,0,1,0,0
0,0,1,0,0,0,0,1,5,1
0,0,1,5,1,0,0,3,9,4
0,0,3,9,4,0,0,1,21,3
0,0,1,21,3,1,0,10,451,261
1,0,10,451,261,0,0,1,5,3
0,0,1,5,3,0,0,22,1151,988
0,0,22,1151,988,0,0,1,3,3
0,0,1,3,3,0,0,1,17,4
0,0,1,17,4,0,0,2,0,67
0,0,2,0,67,1,0,1,78,0
1,0,1,78,0,0,0,1,5,46
0,0,1,5,46,0,0,1,0,0
0,0,1,0,0,0,0,4,16,3
0,0,4,16,3,1,0,0,25,0
1,0,0,25,0,1,0,1,3,2
1,0,1,3,2,0,0,1,0,0
0,0,1,0,0,0,0,1,0,9
0,0,1,0,9,0,0,4,1,54
0,0,4,1,54,0,0,2,140,112
0,0,2,140,112,0,0,2,6,6
0,0,2,6,6,2,0,3,197,71
2,0,3,197,71,0,0,4,22,22
0,0,4,22,22,0,0,5,5,5
0,0,5,5,5,0,0,1,0,0
