generation,best_fitness,avg_value
0,0.6523809523809524,0.127076190476
1,0.6190476190476191,0.189238095238
2,0.5095238095238095,0.176114285714
3,0.5428571428571428,0.193428571429
4,0.6666666666666666,0.187685714286
5,0.6666666666666666,0.186438095238
6,0.5904761904761905,0.178514285714
7,0.6571428571428571,0.1764
8,0.6238095238095238,0.176676190476
9,0.6428571428571429,0.200323809524
10,0.6571428571428571,0.202828571429
11,0.6857142857142857,0.234314285714
12,0.6666666666666666,0.247628571429
13,0.6952380952380952,0.285961904762
14,0.6714285714285714,0.312876190476
15,0.6952380952380952,0.382104761905
16,0.7095238095238096,0.415704761905
17,0.7095238095238096,0.464952380952
18,0.7380952380952381,0.4998
19,0.6952380952380952,0.507666666667
20,0.7047619047619048,0.499133333333
21,0.7095238095238096,0.505819047619
22,0.7142857142857143,0.53
23,0.7047619047619048,0.546133333333
24,0.7047619047619048,0.544142857143
25,0.719047619047619,0.535380952381
26,0.7095238095238096,0.536152380952
27,0.7095238095238096,0.571019047619
28,0.719047619047619,0.55899047619
29,0.719047619047619,0.534457142857
30,0.7095238095238096,0.543304761905
31,0.6857142857142857,0.559466666667
32,0.7095238095238096,0.578066666667
33,0.7095238095238096,0.580676190476
34,0.7095238095238096,0.592695238095
35,0.7095238095238096,0.583971428571
36,0.7095238095238096,0.590447619048
37,0.6761904761904762,0.605942857143
38,0.6857142857142857,0.594695238095
39,0.7047619047619048,0.589361904762
40,0.7095238095238096,0.593323809524
41,0.7428571428571429,0.584257142857
42,0.7047619047619048,0.582123809524
43,0.7666666666666667,0.568066666667
44,0.7666666666666667,0.561323809524
45,0.7047619047619048,0.549571428571
46,0.719047619047619,0.548361904762
47,0.7047619047619048,0.558476190476
48,0.719047619047619,0.560447619048
49,0.7,0.558904761905
50,0.7666666666666667,0.565104761905
51,0.7333333333333333,0.566580952381
52,0.7523809523809524,0.52539047619
53,0.7571428571428571,0.54299047619
54,0.7666666666666667,0.563380952381
55,0.7761904761904762,0.552457142857
56,0.7666666666666667,0.53819047619
57,0.7619047619047619,0.541580952381
58,0.7666666666666667,0.544533333333
59,0.7428571428571429,0.53220952381
60,0.7666666666666667,0.555933333333
61,0.7142857142857143,0.538304761905
62,0.7666666666666667,0.548647619048
63,0.7714285714285715,0.549933333333
64,0.7666666666666667,0.552038095238
65,0.7571428571428571,0.553638095238
66,0.7619047619047619,0.539771428571
67,0.7666666666666667,0.562038095238
68,0.7523809523809524,0.556295238095
69,0.7666666666666667,0.556447619048
70,0.7666666666666667,0.548095238095
71,0.7666666666666667,0.558466666667
72,0.7761904761904762,0.570838095238
73,0.7666666666666667,0.566133333333
74,0.780952380952381,0.571285714286
75,0.7666666666666667,0.575076190476
76,0.7857142857142857,0.578095238095
77,0.7952380952380952,0.585504761905
78,0.780952380952381,0.580142857143
79,0.7857142857142857,0.576752380952
80,0.7761904761904762,0.574561904762
81,0.7857142857142857,0.602914285714
82,0.7857142857142857,0.57639047619
83,0.7857142857142857,0.569133333333
84,0.7857142857142857,0.561619047619
85,0.7857142857142857,0.579228571429
86,0.7761904761904762,0.579638095238
87,0.780952380952381,0.568523809524
88,0.7666666666666667,0.57640952381
89,0.780952380952381,0.572314285714
90,0.7666666666666667,0.5742
91,0.780952380952381,0.576361904762
92,0.780952380952381,0.582314285714
93,0.7666666666666667,0.575095238095
94,0.7666666666666667,0.583180952381
95,0.7857142857142857,0.597828571429
96,0.7857142857142857,0.607676190476
97,0.780952380952381,0.610314285714
98,0.780952380952381,0.605428571429
99,0.780952380952381,0.602
100,0.7666666666666667,0.596028571429
101,0.7761904761904762,0.59039047619
